UNIVERSO,CODIGO,DESCRICAO,NIVEL_1,NIVEL_2,NIVEL_3,RECEITA,QTD_ARMAZENAGEM,LOJAS_ATIVAS,CUSTO_MEDIO_ARM,PRECO_COMPRA_PONDERADO_UNID_COMPRA,CONVERSAO_COMPRA_ARMAZENAGEM,COMPRAS_LINHAS_COM_PRECO,PRECO_PRATICADO_ARM,MARGEM_BRUTA_RS,MARGEM_BRUTA_PCT,MARKUP,FLAG_MARGEM_NEGATIVA,PART_RECEITA_UNIVERSO_PCT,CURVA_ABC_RECEITA,RANK_RECEITA
REDE_COMPLETA,419130,LUSTRE CRISTAL 6LP E14 AB    LTB-001,I - ILUMINACAO,IB - RESIDENCIAL,IBA - LUSTRES E PENDENTES,254415.735000,167.000000,9,562.496000,562.496000,1.000000,5,1523.447515,960.951515,63.077428,2.708370,0,0.052727,A,361.000000
REDE_COMPLETA,462654,DISPOSIT.PROTECAO DR2P      25A/30MA,E - MATERIAIS ELETRICOS,ED - PROTECAO DE CIRCUITOS ELETRICOS,EDG - DISPOSITIVOS DR,251914.792500,2449.000000,9,37.177000,37.177000,1.000000,1,102.864350,65.687350,63.858227,2.766881,0,0.052209,A,364.000000
REDE_COMPLETA,466126,CADEIRA POLIP ALICE               VD,O - MOVEIS,OA - SALA DE ESTAR E JANTAR,OAW - CADEIRAS PARA SALA E COZINHA,249956.542500,1066.000000,10,141.366600,141.366600,1.000000,2,234.480809,93.114209,39.710802,1.658672,0,0.051803,A,368.000000
REDE_COMPLETA,353430,"REVEST.A 32X60 PRISMA DECOR   2,30M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAC - REVESTIMENTOS,247789.626000,3647.800000,10,25.474000,25.474000,1.000000,1,67.928512,42.454512,62.498811,2.666582,0,0.051354,A,370.000000
REDE_COMPLETA,432628,"FRITAD.ELET 4,2L ULTRA TOUCH MF M220",D - ELETROS,DE - ELETROPORTATEIS PARA COZINHA,DEB - FRITADEIRAS E PANELAS ELETRICAS,246973.064657,750.000000,6,378.782400,378.782400,1.000000,1,329.297420,-49.484980,-15.027443,0.869358,1,0.051184,A,373.000000
REDE_COMPLETA,351757,"LAMP.LED PAR20 7,0W          AM MBIV",I - ILUMINACAO,IA - LAMPADAS,IAA - LAMPADAS LED,244541.998750,8953.000000,9,11.834600,11.834600,1.000000,33,27.313973,15.479373,56.671993,2.307976,0,0.050681,A,377.000000
REDE_COMPLETA,348807,"CER.A 46X46 PSI62650       P5 2,58M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAA - PISOS CERAMICOS,237843.359775,8077.980000,10,12.690000,12.690000,1.000000,2,29.443420,16.753420,56.900388,2.320206,0,0.049292,A,386.000000
REDE_COMPLETA,368185,"CER.A 46X46 PSI66110       P4 2,58M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAA - PISOS CERAMICOS,236823.245190,8640.420000,9,12.690000,12.690000,1.000000,1,27.408765,14.718765,53.700943,2.159871,0,0.049081,A,389.000000
REDE_COMPLETA,466424,"REVEST.A 30X90 ZEUS MARFIM MT 1,62M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAC - REVESTIMENTOS,236578.992300,1632.960000,9,55.525800,55.525800,1.000000,1,144.877396,89.351596,61.673938,2.609191,0,0.049030,A,390.000000
REDE_COMPLETA,419435,ARAND.LED PLS.   BR 3W QD   AM 18547,I - ILUMINACAO,IB - RESIDENCIAL,IBD - ARANDELAS RESIDENCIAIS,218175.125000,3857.000000,9,26.996800,26.996800,1.000000,14,56.566016,29.569216,52.273818,2.095286,0,0.045216,A,415.000000
