UNIVERSO,NIVEL_1,NIVEL_2,SKUS,SKUS_COM_CUSTO,LINHAS_VENDA,RECEITA_TOTAL,QTD_ARM_TOTAL,RECEITA_COM_CUSTO,QTD_ARM_COM_CUSTO,CMV,PRECO_PRATICADO_ARM,PRECO_PRATICADO_ARM_COM_CUSTO,CUSTO_MEDIO_ARM_PONDERADO,MARGEM_BRUTA_RS_UNIT,MARGEM_BRUTA_TOTAL,MARGEM_BRUTA_PCT,MARKUP_PONDERADO,COBERTURA_CUSTO_RECEITA_PCT,PART_RECEITA_UNIVERSO_PCT
REDE_COMPLETA,H - TUBOS E CONEXOES,HA - TUBOS E CONEXOES,15,0,4064,160786.255000,11086.000000,0.000000,0.000000,0.000000,14.503541,,,,0.000000,,,0.000000,0.033322
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BC - SERVIR - PLASTICOS,15,0,6033,159692.212750,13788.000000,0.000000,0.000000,0.000000,11.581971,,,,0.000000,,,0.000000,0.033096
REDE_COMPLETA,M - MAQUINAS E MOTORES,MI - CONSTRUCAO CIVIL,1,0,39,142033.080000,46.000000,0.000000,0.000000,0.000000,3087.675652,,,,0.000000,,,0.000000,0.029436
REDE_COMPLETA,J - JARDINAGEM,JE - DECORACAO,1,0,1486,136788.995000,2781.000000,0.000000,0.000000,0.000000,49.186981,,,,0.000000,,,0.000000,0.028349
REDE_COMPLETA,W - LOUCAS E PIAS,WC - TANQUES,4,0,284,135548.595000,291.000000,0.000000,0.000000,0.000000,465.802732,,,,0.000000,,,0.000000,0.028092
REDE_COMPLETA,A - AUTOMOTIVO,AC - MANUTENCAO E LIMPEZA,4,0,4535,134474.060000,7002.000000,0.000000,0.000000,0.000000,19.205093,,,,0.000000,,,0.000000,0.027869
REDE_COMPLETA,E - MATERIAIS ELETRICOS,"EB - FIOS, CABOS E CONECTORES",6,0,3653,134134.994000,21816.000000,0.000000,0.000000,0.000000,6.148469,,,,0.000000,,,0.000000,0.027799
REDE_COMPLETA,T - ARTIGOS DE EPOCA,TA - ILUMINACAO NATALINA,1,0,289,122798.564167,2513.000000,0.000000,0.000000,0.000000,48.865326,,,,0.000000,,,0.000000,0.025450
REDE_COMPLETA,"L - INFANTIL, LAZER E PETS",LA - BRINQUEDOS,7,0,2314,104810.779500,3286.000000,0.000000,0.000000,0.000000,31.896159,,,,0.000000,,,0.000000,0.021722
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,ND - PESO E AFERICAO,2,0,68,101251.395000,71.000000,0.000000,0.000000,0.000000,1426.075986,,,,0.000000,,,0.000000,0.020984
