UNIVERSO,CODIGO,EMBALAGEM,DESCRICAO,NIVEL_1,LOJAS,RECEITA,PRECO_ARM_MEDIO,PRECO_ARM_MEDIANA,PRECO_ARM_DESVPAD,PRECO_ARM_MIN,PRECO_ARM_MAX,CV_PRECO,AMPLITUDE_PCT,FLAG_DISPERSAO_ALTA
REDE_COMPLETA,453196,0,ADEGA 0.90X0.80 6 GARRAFAS       OFF,O - MOVEIS,11,61930.785000,536.477639,568.811250,70.890475,419.895000,604.765000,0.132141,34.459964,0
REDE_COMPLETA,467963,0,COND.SPLIT 9000 COND. 38AGVC INV.157,D - ELETROS,11,1829754.044758,2001.815129,1996.645500,262.523115,1722.247288,2362.395000,0.131143,31.978363,0
REDE_COMPLETA,477552,0,ROUPEIRO 1.36 2P/CO/2G     OFF/NT,O - MOVEIS,10,313257.691850,882.140842,846.895000,115.502958,724.237500,1153.950000,0.130935,48.712459,0
REDE_COMPLETA,458289,0,TRILHO LED KIT 3 SPOT AM  9W PT MBIV,I - ILUMINACAO,8,130770.570000,264.757042,262.902500,34.623934,226.635231,321.321284,0.130776,35.763375,0
REDE_COMPLETA,430299,0,BALCAO COZ.1.20 1P/4G  FRJ/OFW 500335,O - MOVEIS,11,371547.960000,1368.447310,1373.194200,178.938158,940.242188,1627.395000,0.130760,50.214050,0
REDE_COMPLETA,189791,0,FOGAO INDL.1B DPL      BP C/PE E1D1P,N - INDUSTRIAL E NEGOCIOS,10,17887.485000,532.736250,532.060500,69.545463,419.895000,628.950000,0.130544,39.241745,0
REDE_COMPLETA,455048,0,LAMP.LED  BULBO KIT03 7W BR E27 MBIV,I - ILUMINACAO,8,85313.652977,12.590322,12.794287,1.643545,10.421934,15.043541,0.130540,36.707615,0
REDE_COMPLETA,419816,0,TORNEIRA PIA COZ. HYDRAMOT. 1167  VM,U - METAIS E ACESSORIOS,9,80220.000000,54.888209,51.950085,7.155145,46.332674,68.835000,0.130359,40.996648,0
REDE_COMPLETA,374202,0,COND.SPLIT  9000 COND.HWFE09      35,D - ELETROS,2,3483.900000,832.650000,832.650000,108.399470,756.000000,909.300000,0.130186,18.411097,0
REDE_COMPLETA,480680,0,REFRIG. 2P 391L FF RT38DG61  IX MBIV,D - ELETROS,9,1817768.412492,3935.746912,4120.200000,511.909927,3114.580000,4703.580000,0.130067,40.373531,0
REDE_COMPLETA,225465,0,CHAVE FEN. RELOJOEIRO JG06      9528,F - FERRAMENTAS,7,7952.910000,35.021527,34.165213,4.545879,29.718387,40.092500,0.129802,29.622103,0
REDE_COMPLETA,421941,0,SOUNDBAR 600W BT/HDMI/USB       SNH5,R - ELETRONICOS,11,339024.294000,1679.192285,1634.587500,217.454646,1363.950000,1987.615000,0.129500,37.140773,0
REDE_COMPLETA,478701,0,"PORCEL.A 58X58 ESM.LIMEST.MUST1,68M2",C - PISOS E REVESTIMENTOS,7,153807.922800,45.910780,42.260217,5.934353,41.501250,56.178471,0.129258,31.969008,0
REDE_COMPLETA,318250,0,LAVAD.PRESSAO 1800L       BRAVO M220,M - MAQUINAS E MOTORES,5,20038.095000,1140.848625,1048.950000,147.343553,1022.700000,1363.950000,0.129153,29.911944,0
REDE_COMPLETA,260321,0,"TINT.ESM.DIAL.B.AGUA BR 3,6L PLATINA",S - TINTAS E QUIMICOS,9,73078.530000,169.428102,173.145000,21.866777,131.162086,207.885000,0.129062,45.283464,0
REDE_COMPLETA,475081,0,FRIGIDEIRA ANTIAD.22CM   AM 7232/355,B - UTILIDADES DOMESTICAS,4,18618.864833,39.435078,40.007264,5.078209,33.185111,44.540672,0.128774,28.795585,0
REDE_COMPLETA,452086,0,LAV.ROUPA 15.0KG CWH15ABA    BR M127,D - ELETROS,4,92031.681000,2333.022269,2454.058000,300.206198,1888.950000,2535.023077,0.128677,27.692538,0
REDE_COMPLETA,468069,0,VASO DEC MURANO 12X17CM LJ  69114010,V - DECORACAO,8,20810.895000,102.992860,106.447174,13.244261,85.995000,123.068077,0.128594,35.995774,0
REDE_COMPLETA,262790,0,"LIQUID.INDL 1,5L AL.ROT.    LIN M220",N - INDUSTRIAL E NEGOCIOS,10,96595.222500,795.929158,832.422500,102.269660,577.395000,909.277727,0.128491,41.697521,0
REDE_COMPLETA,240104,0,TIGELA PORC.300ML S/ASA    C12J-9001,B - UTILIDADES DOMESTICAS,9,31856.987750,14.808750,14.762943,1.900676,11.576852,18.056398,0.128348,43.754847,0
