UNIVERSO_OPERACIONAL,COD_EMPRESA,CD_CIDADE,CD_ESTADO,CODIGO,DESCRICAO,NIVEL_1,CURVA_ABC_RECEITA,CURVA_ABC_ORIGEM,REPRICING_N_EMBALAGENS,REPRICING_FAIXA,SINAL_MARGEM_AUDITAVEL,SINAL_PRECO_LISTA,FLAG_CUSTO_VALIDO,MARGEM_BRUTA_PCT_COM_CUSTO,FLAG_MARGEM_NEGATIVA,REPRICING_RECEITA,ACAO_PRIMARIA,FAIXA_PRIORIDADE
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,447868,PRATO RASO PORC.28CM    PEIXES 80000,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,1,1,-52.764168,1,23562.248325,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,409419,MESA SALA 1.10 RED C/VD      CAT/OFF,O - MOVEIS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,21592.399500,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,479557,"PORCEL.A 26X106 ESM.AVE.CR SAT2,00M2",C - PISOS E REVESTIMENTOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,15297.450000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,427734,PLAFON LED RED. MILAO   BR  18W MBIV,I - ILUMINACAO,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,15169.959000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,430299,BALCAO COZ.1.20 1P/4G  FRJ/OFW 500335,O - MOVEIS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,15043.875000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,486456,SOFA RET 3L 2.00 LINHO            CZ,O - MOVEIS,B,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,12389.475000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,92,CABO DE SANTO AGOSTINHO,PE,488473,RACK TV 1.40X0.58 PALADIO         BR,O - MOVEIS,C,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,11976.930000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,467615,AP.JANTAR PORC.20PC NATUR     990100,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,1,1,-22.393598,1,11900.700000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,461951,VITRINE VER 1P 300L SLIM  VV300 M220,N - INDUSTRIAL E NEGOCIOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,11527.740000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,2,RECIFE,PE,467559,TV LED 77 HDR SMT 4K OLED QN77S90CAG,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,10498.950000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,9,SALVADOR,BA,467559,TV LED 77 HDR SMT 4K OLED QN77S90CAG,R - ELETRONICOS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,10498.950000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,171832,CHURRASQUEIRA GAS BANCAD.   CH3001IX,D - ELETROS,B,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,10496.745000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,460764,ROUPEIRO 2.19 6P/AB/3G           NV,O - MOVEIS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,10015.110000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,5,ARACAJU,SE,467615,AP.JANTAR PORC.20PC NATUR     990100,B - UTILIDADES DOMESTICAS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,1,1,-22.393598,1,9616.950000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,467603,PRATO SMES.PORC.19CM     ASTER 80033,B - UTILIDADES DOMESTICAS,B,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,1,1,-33.475799,1,9324.283500,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,447372,BALCAO COZ.1.20 1P/4G      GRF001524,O - MOVEIS,C,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,8608.215000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,3,SALVADOR,BA,447870,PRATO FUNDO PORC.23CM RUSTICO VD 005,B - UTILIDADES DOMESTICAS,C,UNIVERSO_OPERACIONAL,1.000000,ALTA,1,1,1,-14.696797,1,7236.127500,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,1,GARANHUNS,PE,422019,CERVEJEIRA 1P BCA10P2        PT M220,D - ELETROS,A,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,7135.800000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,463965,CABECEIRA CASAL GRÉCIA           OFF,O - MOVEIS,B,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,6823.110000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,488850,ESTANTE HOME 1.54 VOLPI       OFF/CN,O - MOVEIS,B,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,6696.795000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,4,RECIFE,PE,446420,PAINEL TV 1.55 C/NICHO LUMINI AMD/TT,O - MOVEIS,B,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,6519.555000,REPRECIFICAR,ALTA
REDE_FISICA_SEM_LOJA93,6,JOAO PESSOA,PB,430404,"REVEST.A 30X90 URBAN.PARK.GRAY1,07M2",C - PISOS E REVESTIMENTOS,C,UNIVERSO_OPERACIONAL,1.000000,ALTA,0,1,0,,0,5929.046550,REPRECIFICAR,ALTA
