UNIVERSO,NIVEL_1,NIVEL_2,PARES_LOJA_PRODUTO,SKUS_DISTINTOS,LOJAS_DISTINTAS,RECEITA_HISTORICA_TOTAL,RECEITA_RUPTURA_CRITICO,RECEITA_EM_RUPTURA,RECEITA_CRITICO,PARES_RUPTURA_CRITICO,PARES_COM_RECEITA_HISTORICA,PARES_SEM_RECEITA_HISTORICA,PARES_DIAS_COBERTURA_FINITO,PARES_DIAS_COBERTURA_INFINITO,DIAS_COBERTURA_MEDIA_FINITA,DIAS_COBERTURA_MEDIANA_FINITA,DIAS_COBERTURA_P25_FINITA,DIAS_COBERTURA_P75_FINITA,ESTOQUE_PROJ_TOTAL,ESTOQUE_PROJ_MEDIANA,VENDA_MEDIA_MES_TOTAL,PARES_EM_RUPTURA,PARES_CRITICO,PARES_ATENCAO,PARES_SAUDAVEL,PARES_STATUS_SEM_VENDA,PCT_PARES_RUPTURA_CRITICO,PCT_PARES_EM_RUPTURA,PCT_PARES_CRITICO,PCT_PARES_DIAS_INFINITO,PCT_PARES_SEM_RECEITA_HISTORICA,PART_RECEITA_RISCO_PCT,PART_RECEITA_UNIVERSO_PCT,PART_RECEITA_RISCO_UNIVERSO_PCT,RECEITA_ETAPA3,TRANSACOES_ETAPA3_LINHAS_VENDA,SKUS_ATIVOS_ETAPA3,PART_RECEITA_ETAPA3_PCT,VAR_RECEITA_2025_VS_2024_ETAPA3_PCT,DIF_RECEITA_VS_ETAPA3,RANK_REPOSICAO
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BD - ORGANIZAR,687,66,11,2972745.172875,2909790.679875,2908865.734875,924.945000,674,569,118,685,2,5.430031,0.000000,0.000000,0.000000,-87902.000000,-51.000000,6397.388180,672,2,2,9,2,98.107715,97.816594,0.291121,0.291121,17.176128,97.882278,0.616093,0.603046,2972745.172875,48549,66,0.616093,-55.989595,0.000000,29
REDE_COMPLETA,B - UTILIDADES DOMESTICAS,BJ - JOGOS E CONJUNTOS PARA SERVIR,388,37,11,3118150.890913,2794502.768913,2739507.128913,54995.640000,348,258,130,379,9,37.509100,0.000000,0.000000,0.000000,-11976.000000,-7.500000,2052.937715,338,10,2,29,9,89.690722,87.113402,2.577320,2.319588,33.505155,89.620511,0.646228,0.579153,3118150.890913,12408,37,0.646228,-83.569129,-0.000000,30
REDE_COMPLETA,W - LOUCAS E PIAS,WB - CUBAS E PIAS,550,50,11,2723950.323500,2687126.928500,2671904.658500,15222.270000,512,389,161,529,21,3.446714,0.000000,0.000000,0.000000,-5122.000000,-1.000000,752.728138,496,16,13,4,21,93.090909,90.181818,2.909091,3.818182,29.272727,98.648162,0.564531,0.556899,2723950.323500,5127,50,0.564531,-59.748272,0.000000,31
REDE_COMPLETA,M - MAQUINAS E MOTORES,MF - AGRICOLAS E JARDINAGEM,77,7,11,2426428.525500,2204675.991000,2183070.456000,21605.535000,70,60,17,76,1,14.926948,0.000000,0.000000,0.000000,-415.000000,-1.000000,158.844061,68,2,4,2,1,90.909091,88.311688,2.597403,1.298701,22.077922,90.860949,0.502870,0.456913,2426428.525500,1193,7,0.502870,-88.148414,0.000000,32
REDE_COMPLETA,W - LOUCAS E PIAS,WA - BACIAS E CAIXAS,374,34,11,1828423.037000,1730379.287000,1720823.027000,9556.260000,344,263,111,361,13,5.953761,0.000000,0.000000,0.000000,-4081.000000,-1.000000,601.004947,335,9,9,8,13,91.978610,89.572193,2.406417,3.475936,29.679144,94.637797,0.378935,0.358616,1828423.037000,4134,34,0.378935,-80.984252,0.000000,33
REDE_COMPLETA,F - FERRAMENTAS,FD - ACABAMENTO ELETRICO,66,6,11,1505274.844250,1431766.223750,1395486.623750,36279.600000,62,38,28,66,0,17.465928,0.000000,0.000000,0.000000,-3513.000000,0.000000,378.052602,61,1,1,3,0,93.939394,92.424242,1.515152,0.000000,42.424242,95.116598,0.311964,0.296729,1505274.844250,3074,6,0.311964,-78.142792,0.000000,34
REDE_COMPLETA,I - ILUMINACAO,IC - COMERCIAL,169,16,11,1351400.406471,1325083.206471,1322206.521471,2876.685000,150,127,42,156,13,6.750858,0.000000,0.000000,0.000000,-51433.000000,-27.000000,4589.035663,149,1,2,4,13,88.757396,88.165680,0.591716,7.692308,24.852071,98.052598,0.280074,0.274620,1351400.406471,6456,16,0.280074,-61.750778,-0.000000,35
REDE_COMPLETA,V - DECORACAO,VG - TAPETES,294,28,11,1303505.709773,1268282.504273,1246563.684773,21718.819500,284,241,53,294,0,11.018323,0.000000,0.000000,0.000000,-28387.000000,-20.500000,3109.609906,276,8,3,7,0,96.598639,93.877551,2.721088,0.000000,18.027211,97.297810,0.270148,0.262848,1303505.709773,14421,28,0.270148,-66.383761,0.000000,36
REDE_COMPLETA,O - MOVEIS,OE - BANHEIRO,88,8,11,1206241.039500,1206241.039500,1203718.414500,2522.625000,88,71,17,88,0,0.340909,0.000000,0.000000,0.000000,-1482.000000,-10.000000,142.690812,87,1,0,0,0,100.000000,98.863636,1.136364,0.000000,19.318182,100.000000,0.249990,0.249990,1206241.039500,1774,8,0.249990,-42.906185,0.000000,37
REDE_COMPLETA,N - INDUSTRIAL E NEGOCIOS,NA - COZINHA INDUSTRIAL,286,26,11,1262054.808000,1202691.745500,1200224.350500,2467.395000,264,210,76,268,18,1.405473,0.000000,0.000000,0.000000,-750.000000,-2.000000,244.670147,263,1,3,1,18,92.307692,91.958042,0.349650,6.293706,26.573427,95.296317,0.261557,0.249254,1262054.808000,929,26,0.261557,-13.684097,0.000000,38
