COD_EMPRESA,CODIGO,ESTOQUE_PROJ,VENDA_MEDIA_MES,DIAS_COBERTURA,RECEITA_TOTAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO,STATUS_ESTOQUE
9,441342,-40.0,6.666666666666667,-180.0,1330.308,CAPA P/CADEIRA LISA      CABERNET 337,V - DECORACAO,SALVADOR,BA,EM RUPTURA
9,441426,-152.0,12.666666666666666,-360.0,5030.445,SELANTE PU40 BR CONSTRUCAO     360G ,S - TINTAS E QUIMICOS,SALVADOR,BA,EM RUPTURA
9,441457,-11.0,2.75,-120.0,7104.825,PLAFON LED BERLIN     3TONS 20W MBIV,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,441750,-72.0,9.0,-240.0,1129.0755000000001,PRATO SMES.CER.20CM BABET   AZ 91659,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,441780,-62.0,4.133333333333334,-449.99999999999994,8071.14,RALO PLS PISO LINE.PVC SIF.OCUL.50CM,H - TUBOS E CONEXOES,SALVADOR,BA,EM RUPTURA
9,441981,-165.0,8.68421052631579,-570.0,77714.784,LUSTRE LED 3EM1 45W   RS LP-02R 5183,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,441982,-48.0,3.4285714285714284,-420.0,24122.7,LUSTRE LED AL. 45W NE LP-017 DO 5190,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,442061,-111.0,9.25,-360.0,215167.911,TV LED 43 FHD SMT        43LM6370PSB,R - ELETRONICOS,SALVADOR,BA,EM RUPTURA
9,442138,-241.0,24.1,-300.0,54028.695,CADEIRA POLIP ALICE              OFF,O - MOVEIS,SALVADOR,BA,EM RUPTURA
9,442252,-3.0,1.5,-60.0,7452.795000000001,LAV.ROUPA 17KG DIG LEC17     BR M127,D - ELETROS,SALVADOR,BA,EM RUPTURA
9,442253,0.0,0.0,inf,,LAV.ROUPA 17KG DIG LEC17     BR M220,D - ELETROS,SALVADOR,BA,EM RUPTURA
